"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"2","0.000325666","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=1 Ack=168 Win=65535 Len=0"
"3","0.078567682","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"4","0.078602029","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=168 Ack=114 Win=65535 Len=0"
"9","0.981930844","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"10","0.982242122","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=114 Ack=317 Win=65535 Len=0"
"11","1.096499543","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"12","1.096532046","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=317 Ack=227 Win=65535 Len=0"
"13","1.112768976","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"14","1.113284634","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=227 Ack=484 Win=65535 Len=0"
"15","2.002065142","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"16","2.002405172","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=227 Ack=683 Win=65535 Len=0"
"17","2.083275474","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"18","2.126213110","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=683 Ack=340 Win=65535 Len=0"
"19","4.008063804","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"20","4.008348781","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=340 Ack=832 Win=65535 Len=0"
"21","4.089477204","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"22","4.089535731","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=832 Ack=453 Win=65535 Len=0"
"23","6.011763922","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"24","6.012044138","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=453 Ack=1031 Win=65535 Len=0"
"25","6.066062994","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"26","6.066354699","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=453 Ack=1164 Win=65535 Len=0"
"27","6.093586751","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"28","6.093614545","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1164 Ack=566 Win=65535 Len=0"
"29","6.098942593","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"30","6.099237983","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=566 Ack=1313 Win=65535 Len=0"
"31","6.213898920","149.154.167.99","10.0.2.15","TLSv1.2","235","Application Data"
"32","6.231788546","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"33","6.232209769","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=745 Ack=1462 Win=65535 Len=0"
"34","6.364188056","149.154.167.99","10.0.2.15","TCP","1296","443  >  49022 [PSH, ACK] Seq=745 Ack=1462 Win=65535 Len=1240 [TCP segment of a reassembled PDU]"
"35","6.364188333","149.154.167.99","10.0.2.15","TCP","3776","443  >  49022 [PSH, ACK] Seq=1985 Ack=1462 Win=65535 Len=3720 [TCP segment of a reassembled PDU]"
"36","6.364237529","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1462 Ack=5705 Win=65535 Len=0"
"37","6.364188378","149.154.167.99","10.0.2.15","TCP","6256","443  >  49022 [PSH, ACK] Seq=5705 Ack=1462 Win=65535 Len=6200 [TCP segment of a reassembled PDU]"
"38","6.364261902","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1462 Ack=11905 Win=65535 Len=0"
"39","6.364947209","149.154.167.99","10.0.2.15","TCP","1296","443  >  49022 [PSH, ACK] Seq=11905 Ack=1462 Win=65535 Len=1240 [TCP segment of a reassembled PDU]"
"40","6.405945227","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1462 Ack=13145 Win=65535 Len=0"
"41","6.444331726","149.154.167.99","10.0.2.15","TLSv1.2","6256","Application Data [TCP segment of a reassembled PDU]"
"42","6.444382164","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1462 Ack=19345 Win=65535 Len=0"
"43","6.444332236","149.154.167.99","10.0.2.15","TCP","3776","443  >  49022 [PSH, ACK] Seq=19345 Ack=1462 Win=65535 Len=3720 [TCP segment of a reassembled PDU]"
"44","6.444407850","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1462 Ack=23065 Win=65535 Len=0"
"45","6.445191882","149.154.167.99","10.0.2.15","TCP","9976","443  >  49022 [PSH, ACK] Seq=23065 Ack=1462 Win=65535 Len=9920 [TCP segment of a reassembled PDU]"
"46","6.445227131","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1462 Ack=32985 Win=65535 Len=0"
"47","6.446599281","149.154.167.99","10.0.2.15","TLSv1.2","2536","Application Data [TCP segment of a reassembled PDU]"
"48","6.446625901","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1462 Ack=35465 Win=65535 Len=0"
"49","6.482403577","149.154.167.99","10.0.2.15","TCP","2536","443  >  49022 [PSH, ACK] Seq=35465 Ack=1462 Win=65535 Len=2480 [TCP segment of a reassembled PDU]"
"50","6.482460498","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1462 Ack=37945 Win=65535 Len=0"
"51","6.520632237","149.154.167.99","10.0.2.15","TCP","2536","443  >  49022 [PSH, ACK] Seq=37945 Ack=1462 Win=65535 Len=2480 [TCP segment of a reassembled PDU]"
"52","6.520671763","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1462 Ack=40425 Win=65535 Len=0"
"53","6.520632573","149.154.167.99","10.0.2.15","TCP","3776","443  >  49022 [PSH, ACK] Seq=40425 Ack=1462 Win=65535 Len=3720 [TCP segment of a reassembled PDU]"
"54","6.520782915","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1462 Ack=44145 Win=65535 Len=0"
"55","6.520632617","149.154.167.99","10.0.2.15","TLSv1.2","6256","Application Data [TCP segment of a reassembled PDU]"
"56","6.520800890","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1462 Ack=50345 Win=65535 Len=0"
"57","6.523504183","149.154.167.99","10.0.2.15","TLSv1.2","6832","Application Data"
"58","6.523545210","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1462 Ack=57121 Win=65535 Len=0"
"59","6.604730867","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"60","6.605141791","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=57121 Ack=1645 Win=65535 Len=0"
"61","7.078627112","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
