"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"2","0.000324439","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=1 Ack=200 Win=65535 Len=0"
"3","0.082478006","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"4","0.082533381","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=200 Ack=114 Win=65535 Len=0"
"5","1.982688963","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"6","1.983068392","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=114 Ack=399 Win=65535 Len=0"
"7","2.062230406","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"8","2.062260905","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=399 Ack=227 Win=65535 Len=0"
"9","3.992822815","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"10","3.993846814","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=227 Ack=532 Win=65535 Len=0"
"11","4.120896445","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"12","4.120937861","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=532 Ack=340 Win=65535 Len=0"
"13","5.986799279","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"14","5.987089051","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=340 Ack=681 Win=65535 Len=0"
"15","6.066316768","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"16","6.066355767","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=681 Ack=453 Win=65535 Len=0"
"17","7.989715596","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"18","7.990078267","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=453 Ack=864 Win=65535 Len=0"
"19","8.071072705","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
