"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"2","0.000399254","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=1 Ack=200 Win=65535 Len=0"
"3","0.093525766","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"4","0.093628594","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=200 Ack=114 Win=65535 Len=0"
"5","1.987183914","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"6","1.987619026","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=114 Ack=367 Win=65535 Len=0"
"7","2.069964778","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"8","2.070065120","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=367 Ack=227 Win=65535 Len=0"
"9","4.000810988","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"10","4.001764865","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=227 Ack=516 Win=65535 Len=0"
"11","4.084676065","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"12","4.084796201","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=516 Ack=340 Win=65535 Len=0"
"13","6.002698170","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"14","6.003045896","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=340 Ack=683 Win=65535 Len=0"
"15","6.142758634","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"16","6.142801210","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=683 Ack=453 Win=65535 Len=0"
"17","7.990313222","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"18","7.990676495","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=453 Ack=850 Win=65535 Len=0"
"19","8.149796274","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"20","8.149902208","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=850 Ack=566 Win=65535 Len=0"
"21","10.004154101","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"22","10.004983868","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=566 Ack=999 Win=65535 Len=0"
"23","10.084307058","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"24","10.084394191","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=999 Ack=679 Win=65535 Len=0"
"25","12.024053697","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"26","12.024389976","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=679 Ack=1132 Win=65535 Len=0"
"27","12.114061308","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"28","12.114163674","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=1132 Ack=792 Win=65535 Len=0"
"29","14.004170356","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"30","14.004675001","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=792 Ack=1331 Win=65535 Len=0"
"31","14.232793526","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"32","14.232894621","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=1331 Ack=905 Win=65535 Len=0"
"33","16.018498688","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"34","16.019424472","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=905 Ack=1464 Win=65535 Len=0"
"35","16.098950604","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"36","16.098992304","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=1464 Ack=1018 Win=65535 Len=0"
"37","18.041482236","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"38","18.041980026","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=1018 Ack=1597 Win=65535 Len=0"
"39","18.122211578","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"40","18.122273317","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=1597 Ack=1131 Win=65535 Len=0"
"41","20.016089606","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"42","20.016486279","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=1131 Ack=1746 Win=65535 Len=0"
"43","20.098389749","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"44","20.098495823","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=1746 Ack=1244 Win=65535 Len=0"
"45","22.036874115","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"46","22.037799715","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=1244 Ack=1895 Win=65535 Len=0"
"47","22.121677686","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"48","22.121780048","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=1895 Ack=1357 Win=65535 Len=0"
"49","24.055983939","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"50","24.056459581","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=1357 Ack=2062 Win=65535 Len=0"
"51","24.145231942","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"52","24.145411208","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=2062 Ack=1470 Win=65535 Len=0"
"53","26.060620012","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"54","26.061443033","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=1470 Ack=2229 Win=65535 Len=0"
"55","26.141239507","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"56","26.141332456","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=2229 Ack=1583 Win=65535 Len=0"
"57","28.058224312","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"58","28.059077840","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=1583 Ack=2428 Win=65535 Len=0"
"59","28.166567018","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"60","28.166675321","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=2428 Ack=1696 Win=65535 Len=0"
"61","29.485757317","149.154.167.99","10.0.2.15","TLSv1.2","571","Application Data"
"62","29.485862454","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=2428 Ack=2211 Win=65535 Len=0"
"63","29.569385530","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"64","29.569836649","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=2211 Ack=2611 Win=65535 Len=0"
"65","29.572730410","10.0.2.15","149.154.167.99","TLSv1.2","173","Application Data"
"66","29.572931586","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=2211 Ack=2728 Win=65535 Len=0"
"67","29.703066277","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"68","29.703096683","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=2728 Ack=2324 Win=65535 Len=0"
"69","29.710727732","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"70","29.711005892","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=2324 Ack=2895 Win=65535 Len=0"
"73","30.064309685","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"74","30.064995409","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=2324 Ack=3062 Win=65535 Len=0"
"75","30.145669713","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"76","30.192723861","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=3062 Ack=2437 Win=65535 Len=0"
"88","32.064823693","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"89","32.065481991","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=2437 Ack=3261 Win=65535 Len=0"
"90","32.165093919","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"91","32.165174178","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=3261 Ack=2550 Win=65535 Len=0"
"103","34.080227754","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"104","34.080675422","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=2550 Ack=3410 Win=65535 Len=0"
"105","34.183265931","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"106","34.183462998","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=3410 Ack=2663 Win=65535 Len=0"
"187","36.090811297","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"188","36.091281474","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=2663 Ack=3543 Win=65535 Len=0"
"189","36.208040429","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"190","36.208108053","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=3543 Ack=2776 Win=65535 Len=0"
"191","38.066167588","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"192","38.066787204","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=2776 Ack=3742 Win=65535 Len=0"
"193","38.166790860","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"194","38.166873538","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=3742 Ack=2889 Win=65535 Len=0"
"195","40.084821360","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"196","40.085317828","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=2889 Ack=3875 Win=65535 Len=0"
"197","40.207896608","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
