"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"2","0.000221178","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=1 Ack=200 Win=65535 Len=0"
"3","0.149440771","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"4","0.149678554","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=200 Ack=114 Win=65535 Len=0"
"5","2.011968623","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"6","2.012271903","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=114 Ack=349 Win=65535 Len=0"
"7","2.093661675","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"8","2.093698256","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=349 Ack=227 Win=65535 Len=0"
"9","4.019209038","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"10","4.020172647","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=227 Ack=516 Win=65535 Len=0"
"11","4.110253922","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"12","4.110290762","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=516 Ack=340 Win=65535 Len=0"
"13","6.008189032","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"14","6.008384270","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=340 Ack=665 Win=65535 Len=0"
"15","6.087849390","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"16","6.087911279","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=665 Ack=453 Win=65535 Len=0"
"17","8.047584417","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"18","8.047928852","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=453 Ack=832 Win=65535 Len=0"
"19","8.129686334","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"20","8.129764285","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=832 Ack=566 Win=65535 Len=0"
"21","10.020853766","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"22","10.021169218","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=566 Ack=999 Win=65535 Len=0"
"23","10.100413180","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"24","10.100447834","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=999 Ack=679 Win=65535 Len=0"
"25","12.024295056","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"26","12.024664597","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=679 Ack=1148 Win=65535 Len=0"
"27","12.102321587","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"28","12.102367512","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=1148 Ack=792 Win=65535 Len=0"
"32","14.060965129","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"33","14.061306122","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=792 Ack=1347 Win=65535 Len=0"
