"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"2","0.000954108","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=1 Ack=150 Win=65535 Len=0"
"3","0.084804785","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"4","0.084913413","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=150 Ack=114 Win=65535 Len=0"
"5","1.999360829","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"6","1.999797355","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=114 Ack=349 Win=65535 Len=0"
"7","2.096346581","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"8","2.096444028","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=349 Ack=227 Win=65535 Len=0"
"9","4.049800377","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"10","4.050272683","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=227 Ack=532 Win=65535 Len=0"
"11","4.150658185","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"12","4.150963942","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=532 Ack=340 Win=65535 Len=0"
"13","6.033835127","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"14","6.034689475","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=340 Ack=665 Win=65535 Len=0"
"15","6.123339211","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"16","6.123429783","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=665 Ack=453 Win=65535 Len=0"
"17","8.059294397","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"18","8.059718859","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=453 Ack=848 Win=65535 Len=0"
"19","8.141111881","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"20","8.141166535","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=848 Ack=566 Win=65535 Len=0"
"21","10.039250737","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"22","10.039730022","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=566 Ack=1047 Win=65535 Len=0"
"23","10.131480899","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"24","10.131607659","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=1047 Ack=679 Win=65535 Len=0"
"25","12.044991376","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"26","12.045877007","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=679 Ack=1246 Win=65535 Len=0"
"27","12.127323789","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"28","12.127485185","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=1246 Ack=792 Win=65535 Len=0"
"29","14.050625726","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"30","14.051099738","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=792 Ack=1445 Win=65535 Len=0"
"31","14.139042737","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"32","14.139142441","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=1445 Ack=905 Win=65535 Len=0"
"33","16.048949913","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"34","16.049349300","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=905 Ack=1578 Win=65535 Len=0"
"35","16.128309760","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"36","16.128364544","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=1578 Ack=1018 Win=65535 Len=0"
"37","18.053769561","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"38","18.054613917","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=1018 Ack=1777 Win=65535 Len=0"
"39","18.235634424","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"40","18.235838847","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=1777 Ack=1131 Win=65535 Len=0"
"41","20.075063438","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"42","20.075465319","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=1131 Ack=1926 Win=65535 Len=0"
"43","20.161298539","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"44","20.161456410","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=1926 Ack=1244 Win=65535 Len=0"
"45","22.089889778","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"46","22.090303982","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=1244 Ack=2125 Win=65535 Len=0"
"47","22.172894249","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"48","22.172938818","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=2125 Ack=1357 Win=65535 Len=0"
"49","24.067439247","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"50","24.067909629","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=1357 Ack=2274 Win=65535 Len=0"
"51","24.158792666","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"52","24.158875237","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=2274 Ack=1470 Win=65535 Len=0"
"53","26.096639660","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"54","26.097321087","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=1470 Ack=2457 Win=65535 Len=0"
"55","26.183115915","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"56","26.183202279","10.0.2.15","149.154.167.99","TCP","56","57880  >  443 [ACK] Seq=2457 Ack=1583 Win=65535 Len=0"
"57","28.092366396","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"58","28.092718329","149.154.167.99","10.0.2.15","TCP","62","443  >  57880 [ACK] Seq=1583 Ack=2624 Win=65535 Len=0"
"59","28.177748920","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
