"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"2","0.000874911","149.154.167.99","10.0.2.15","TCP","62","443  >  36716 [ACK] Seq=1 Ack=134 Win=65535 Len=0"
"3","0.068816338","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"4","0.068905368","10.0.2.15","149.154.167.99","TCP","56","36716  >  443 [ACK] Seq=134 Ack=114 Win=62780 Len=0"
"5","1.995485506","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"6","1.996502331","149.154.167.99","10.0.2.15","TCP","62","443  >  36716 [ACK] Seq=114 Ack=333 Win=65535 Len=0"
"7","2.062724985","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"8","2.062820740","10.0.2.15","149.154.167.99","TCP","56","36716  >  443 [ACK] Seq=333 Ack=227 Win=62780 Len=0"
"9","4.003400143","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"10","4.004433427","149.154.167.99","10.0.2.15","TCP","62","443  >  36716 [ACK] Seq=227 Ack=482 Win=65535 Len=0"
"11","4.070359182","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"12","4.070469710","10.0.2.15","149.154.167.99","TCP","56","36716  >  443 [ACK] Seq=482 Ack=340 Win=62780 Len=0"
"13","5.156184541","10.0.2.15","149.154.167.99","TLSv1.2","173","Application Data"
"14","5.156595710","149.154.167.99","10.0.2.15","TCP","62","443  >  36716 [ACK] Seq=340 Ack=599 Win=65535 Len=0"
"15","5.225768985","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"16","5.225818938","10.0.2.15","149.154.167.99","TCP","56","36716  >  443 [ACK] Seq=599 Ack=453 Win=62780 Len=0"
"17","5.246595146","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"18","5.247211283","149.154.167.99","10.0.2.15","TCP","62","443  >  36716 [ACK] Seq=453 Ack=798 Win=65535 Len=0"
"19","5.438928489","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"20","5.440088015","149.154.167.99","10.0.2.15","TCP","62","443  >  36716 [ACK] Seq=453 Ack=947 Win=65535 Len=0"
"21","5.520689525","149.154.167.99","10.0.2.15","TLSv1.2","507","Application Data"
"22","5.562507507","10.0.2.15","149.154.167.99","TCP","56","36716  >  443 [ACK] Seq=947 Ack=904 Win=65535 Len=0"
"23","5.579009212","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"24","5.580106354","149.154.167.99","10.0.2.15","TCP","62","443  >  36716 [ACK] Seq=904 Ack=1080 Win=65535 Len=0"
"25","6.038044248","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"26","6.038702955","149.154.167.99","10.0.2.15","TCP","62","443  >  36716 [ACK] Seq=904 Ack=1213 Win=65535 Len=0"
"27","6.106296034","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"28","6.106382814","10.0.2.15","149.154.167.99","TCP","56","36716  >  443 [ACK] Seq=1213 Ack=1017 Win=65535 Len=0"
"29","8.038790458","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"30","8.039016793","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"31","8.039266205","149.154.167.99","10.0.2.15","TCP","62","443  >  36716 [ACK] Seq=1017 Ack=1362 Win=65535 Len=0"
"32","8.039266487","149.154.167.99","10.0.2.15","TCP","62","443  >  36716 [ACK] Seq=1017 Ack=1495 Win=65535 Len=0"
"33","8.104416208","149.154.167.99","10.0.2.15","TLSv1.2","235","Application Data"
"34","8.104459858","10.0.2.15","149.154.167.99","TCP","56","36716  >  443 [ACK] Seq=1495 Ack=1196 Win=65535 Len=0"
