"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"2","0.000362665","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=1 Ack=150 Win=65535 Len=0"
"3","0.081868403","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"4","0.081980291","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=150 Ack=114 Win=65535 Len=0"
"5","2.017879820","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"6","2.018237020","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=114 Ack=349 Win=65535 Len=0"
"7","2.118322365","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"8","2.118358286","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=349 Ack=227 Win=65535 Len=0"
"9","4.012901161","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"10","4.013285738","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=227 Ack=516 Win=65535 Len=0"
"11","4.091322706","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"12","4.091356675","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=516 Ack=340 Win=65535 Len=0"
"13","4.421459924","149.154.167.99","10.0.2.15","TLSv1.2","185","Application Data"
"14","4.421570636","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=516 Ack=469 Win=65535 Len=0"
"15","4.455300544","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"16","4.455987546","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=469 Ack=683 Win=65535 Len=0"
"17","6.022701823","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"18","6.023168775","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=469 Ack=816 Win=65535 Len=0"
"19","6.103764571","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"20","6.160416759","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=816 Ack=582 Win=65535 Len=0"
"21","8.030859358","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"22","8.031226733","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=582 Ack=1015 Win=65535 Len=0"
"23","8.109038303","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"24","8.109071170","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=1015 Ack=695 Win=65535 Len=0"
"25","10.028598193","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"26","10.029420706","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=695 Ack=1198 Win=65535 Len=0"
"27","10.114682723","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"28","10.114725702","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=1198 Ack=808 Win=65535 Len=0"
"29","12.022766488","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"30","12.023129986","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=808 Ack=1347 Win=65535 Len=0"
"31","12.140808540","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"32","12.140907156","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=1347 Ack=921 Win=65535 Len=0"
"33","14.063437784","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"34","14.063770495","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=921 Ack=1514 Win=65535 Len=0"
"35","14.140392234","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"36","14.140428145","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=1514 Ack=1034 Win=65535 Len=0"
"37","16.069229099","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"38","16.070042399","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=1034 Ack=1647 Win=65535 Len=0"
"39","16.151621814","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"40","16.151727954","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=1647 Ack=1147 Win=65535 Len=0"
"41","18.055003398","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"42","18.055231863","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=1147 Ack=1814 Win=65535 Len=0"
"43","18.141508986","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"44","18.141544077","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=1814 Ack=1260 Win=65535 Len=0"
"45","20.088501148","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"46","20.088849380","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=1260 Ack=2013 Win=65535 Len=0"
"47","20.170190189","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"48","20.170221673","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=2013 Ack=1373 Win=65535 Len=0"
"49","22.061258612","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"50","22.061518246","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=1373 Ack=2180 Win=65535 Len=0"
"51","22.139550095","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"52","22.139639384","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=2180 Ack=1486 Win=65535 Len=0"
"53","24.061618510","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"54","24.061870824","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=1486 Ack=2363 Win=65535 Len=0"
"55","24.142650890","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"56","24.142689162","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=2363 Ack=1599 Win=65535 Len=0"
"57","24.395260864","149.154.167.99","10.0.2.15","TLSv1.2","219","Application Data"
"58","24.395351074","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=2363 Ack=1762 Win=65535 Len=0"
"59","24.425589834","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"60","24.425981143","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=1762 Ack=2546 Win=65535 Len=0"
"61","26.077076361","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"62","26.077403267","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=1762 Ack=2729 Win=65535 Len=0"
