"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"2","0.000391006","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=1 Ack=184 Win=65535 Len=0"
"3","0.079913043","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"4","0.079963277","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=184 Ack=114 Win=65535 Len=0"
"5","2.000365700","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"6","2.000610770","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=114 Ack=351 Win=65535 Len=0"
"7","2.116763923","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"8","2.116852098","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=351 Ack=227 Win=65535 Len=0"
"9","3.397316158","149.154.167.99","10.0.2.15","TLSv1.2","185","Application Data"
"10","3.397502163","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=351 Ack=356 Win=65535 Len=0"
"11","3.431989548","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"12","3.432278914","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=356 Ack=550 Win=65535 Len=0"
"13","4.003301155","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"14","4.003576565","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=356 Ack=699 Win=65535 Len=0"
"15","4.081507751","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"16","4.126013177","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=699 Ack=469 Win=65535 Len=0"
"17","6.022604048","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"18","6.023176003","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=469 Ack=898 Win=65535 Len=0"
"19","6.103823850","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"20","6.103887476","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=898 Ack=582 Win=65535 Len=0"
"21","8.012747312","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"22","8.013034565","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=582 Ack=1065 Win=65535 Len=0"
"23","8.137668685","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"24","8.137727015","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1065 Ack=695 Win=65535 Len=0"
"25","10.006143547","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"26","10.006483592","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=695 Ack=1214 Win=65535 Len=0"
"27","10.090290332","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"28","10.090345603","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1214 Ack=808 Win=65535 Len=0"
"29","12.025447687","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"30","12.025851963","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=808 Ack=1363 Win=65535 Len=0"
"31","12.108144423","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"32","12.108207777","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1363 Ack=921 Win=65535 Len=0"
"33","14.015997739","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"34","14.016261791","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=921 Ack=1512 Win=65535 Len=0"
"35","14.097775197","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"36","14.097811594","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1512 Ack=1034 Win=65535 Len=0"
"37","16.010917066","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"38","16.011270057","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=1034 Ack=1679 Win=65535 Len=0"
"39","16.090097089","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"40","16.090161858","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1679 Ack=1147 Win=65535 Len=0"
"41","18.018528011","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"42","18.018883242","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=1147 Ack=1828 Win=65535 Len=0"
"43","18.098797786","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"44","18.098879186","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1828 Ack=1260 Win=65535 Len=0"
"45","20.042403316","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"46","20.042844245","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=1260 Ack=2011 Win=65535 Len=0"
"47","20.148902724","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"48","20.148936094","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=2011 Ack=1373 Win=65535 Len=0"
"49","22.023508776","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"50","22.023803894","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=1373 Ack=2160 Win=65535 Len=0"
"51","22.105963490","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"52","22.106060914","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=2160 Ack=1486 Win=65535 Len=0"
"53","24.030586061","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"54","24.030970305","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=1486 Ack=2327 Win=65535 Len=0"
"55","24.157827826","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
