"No.","Time","Source","Destination","Protocol","Length","Info"
"5","0.893835884","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"6","0.894177645","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=1 Ack=184 Win=65535 Len=0"
"7","1.006817635","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"8","1.006888360","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=184 Ack=114 Win=65535 Len=0"
"9","2.889924014","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"10","2.890283333","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=114 Ack=383 Win=65535 Len=0"
"11","2.969669821","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"12","2.969774368","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=383 Ack=227 Win=65535 Len=0"
"13","4.895789754","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"14","4.896122581","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=227 Ack=516 Win=65535 Len=0"
"15","4.986660612","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"16","4.986703588","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=516 Ack=340 Win=65535 Len=0"
"17","6.922227487","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"18","6.922582277","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=340 Ack=699 Win=65535 Len=0"
"19","7.001384310","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"20","7.001474405","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=699 Ack=453 Win=65535 Len=0"
"56","8.888884288","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"57","8.889126164","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=453 Ack=898 Win=65535 Len=0"
"58","8.968002515","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"59","8.968041083","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=898 Ack=566 Win=65535 Len=0"
"60","10.901414512","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
