"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"2","0.000036262","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=1 Ack=114 Win=62780 Len=0"
"3","1.440006056","149.154.167.99","10.0.2.15","TLSv1.2","185","Application Data"
"4","1.440119802","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=1 Ack=243 Win=62780 Len=0"
"5","1.479817877","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"6","1.480300552","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=243 Ack=168 Win=65535 Len=0"
"7","1.929590058","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"8","1.930038215","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=243 Ack=335 Win=65535 Len=0"
"9","2.010114543","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"10","2.010151556","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=335 Ack=356 Win=62780 Len=0"
"11","3.959656952","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"12","3.960139232","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=356 Ack=484 Win=65535 Len=0"
"13","4.038808636","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"14","4.038973085","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=484 Ack=469 Win=62780 Len=0"
"15","5.936040170","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"16","5.936361327","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=469 Ack=617 Win=65535 Len=0"
"17","6.024946162","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"18","6.025002664","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=617 Ack=582 Win=62780 Len=0"
"19","7.948329148","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"20","7.948615945","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=582 Ack=816 Win=65535 Len=0"
"21","8.043369407","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"22","8.043408681","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=816 Ack=695 Win=62780 Len=0"
"23","9.966465167","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"24","9.967098692","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=695 Ack=949 Win=65535 Len=0"
"25","10.070862178","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"26","10.070897604","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=949 Ack=808 Win=62780 Len=0"
"27","11.951094964","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"28","11.951409044","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=808 Ack=1082 Win=65535 Len=0"
"29","12.030689937","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"30","12.030779978","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=1082 Ack=921 Win=62780 Len=0"
"31","13.961291606","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"32","13.962608635","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=921 Ack=1281 Win=65535 Len=0"
"33","14.060413174","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"34","14.060459864","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=1281 Ack=1034 Win=62780 Len=0"
"35","15.978143724","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"36","15.978624529","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=1034 Ack=1464 Win=65535 Len=0"
"37","16.082023787","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"38","16.082064117","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=1464 Ack=1147 Win=62780 Len=0"
"39","17.981072265","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"40","17.981450734","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=1147 Ack=1631 Win=65535 Len=0"
"41","18.183319543","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"42","18.183427390","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=1631 Ack=1260 Win=62780 Len=0"
"43","19.983576173","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"44","19.984323063","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=1260 Ack=1798 Win=65535 Len=0"
"45","20.157104214","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"46","20.157149106","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=1798 Ack=1373 Win=62780 Len=0"
"47","21.994232509","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"48","21.994614127","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=1373 Ack=1981 Win=65535 Len=0"
"49","22.072062098","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"50","22.072092844","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=1981 Ack=1486 Win=62780 Len=0"
"51","23.985092306","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"52","23.985500162","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=1486 Ack=2114 Win=65535 Len=0"
"53","24.065795471","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"54","24.065840152","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=2114 Ack=1599 Win=62780 Len=0"
"55","25.991243158","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"56","25.992368042","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=1599 Ack=2281 Win=65535 Len=0"
"57","26.118312874","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"58","26.118384143","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=2281 Ack=1712 Win=62780 Len=0"
"59","27.983215056","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"60","27.983524546","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=1712 Ack=2464 Win=65535 Len=0"
"61","28.062349779","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"62","28.062401562","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=2464 Ack=1825 Win=62780 Len=0"
"63","29.899344820","149.154.167.99","10.0.2.15","TLSv1.2","219","Application Data"
"64","29.899379008","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=2464 Ack=1988 Win=62780 Len=0"
"65","29.930980094","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"66","29.931399021","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=1988 Ack=2663 Win=65535 Len=0"
"67","29.932786526","10.0.2.15","149.154.167.99","TLSv1.2","173","Application Data"
"68","29.933050612","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=1988 Ack=2780 Win=65535 Len=0"
"69","29.981198982","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"70","29.981629745","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=1988 Ack=2979 Win=65535 Len=0"
"71","30.129580178","149.154.167.99","10.0.2.15","TLSv1.2","235","Application Data"
"72","30.165536551","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"73","30.165581363","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=2979 Ack=2280 Win=62780 Len=0"
"74","30.172693227","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"75","30.172961719","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=2280 Ack=3146 Win=65535 Len=0"
"76","31.373532039","149.154.167.99","10.0.2.15","TLSv1.2","219","Application Data"
"77","31.394029735","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"78","31.394411184","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=2443 Ack=3279 Win=65535 Len=0"
"79","31.990771802","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"80","31.991729275","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=2443 Ack=3462 Win=65535 Len=0"
"81","32.213254802","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"82","32.254994738","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=3462 Ack=2556 Win=62780 Len=0"
"83","32.784086414","149.154.167.99","10.0.2.15","TLSv1.2","80","Application Data"
"84","32.784134830","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [ACK] Seq=3462 Ack=2580 Win=62780 Len=0"
"85","32.784218573","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [FIN, ACK] Seq=2580 Ack=3462 Win=65535 Len=0"
"86","32.784356965","10.0.2.15","149.154.167.99","TLSv1.2","80","Application Data"
"87","32.784378417","10.0.2.15","149.154.167.99","TCP","56","59150  >  443 [FIN, ACK] Seq=3486 Ack=2581 Win=62780 Len=0"
"88","32.784520625","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=2581 Ack=3486 Win=65535 Len=0"
"89","32.784520721","149.154.167.99","10.0.2.15","TCP","62","443  >  59150 [ACK] Seq=2581 Ack=3487 Win=65535 Len=0"
"102","32.791679973","10.0.2.15","149.154.167.99","TCP","76","50008  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2845064553 TSecr=0 WS=128"
"117","32.869905478","149.154.167.99","10.0.2.15","TCP","62","443  >  50008 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"118","32.869945487","10.0.2.15","149.154.167.99","TCP","56","50008  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"119","32.871859695","10.0.2.15","149.154.167.99","TLSv1.3","756","Client Hello"
"120","32.872185060","149.154.167.99","10.0.2.15","TCP","62","443  >  50008 [ACK] Seq=1 Ack=701 Win=65535 Len=0"
"121","33.024706715","149.154.167.99","10.0.2.15","TLSv1.3","2976","Server Hello, Change Cipher Spec, Application Data"
"122","33.024752888","10.0.2.15","149.154.167.99","TCP","56","50008  >  443 [ACK] Seq=701 Ack=2921 Win=62780 Len=0"
"123","33.025006172","149.154.167.99","10.0.2.15","TCP","1232","443  >  50008 [PSH, ACK] Seq=2921 Ack=701 Win=65535 Len=1176 [TCP segment of a reassembled PDU]"
"124","33.025021895","10.0.2.15","149.154.167.99","TCP","56","50008  >  443 [ACK] Seq=701 Ack=4097 Win=61604 Len=0"
