"No.","Time","Source","Destination","Protocol","Length","Info"
"13","4.548547138","10.0.2.15","157.240.195.56","TLSv1.2","125","Application Data"
"14","4.549096538","157.240.195.56","10.0.2.15","TCP","62","443  >  59306 [ACK] Seq=1 Ack=70 Win=65535 Len=0"
"15","4.699016823","157.240.195.56","10.0.2.15","TLSv1.2","127","Application Data"
"16","4.699056487","10.0.2.15","157.240.195.56","TCP","56","59306  >  443 [ACK] Seq=70 Ack=72 Win=65535 Len=0"
"69","29.207159436","157.240.195.56","10.0.2.15","TLSv1.2","333","Application Data"
"70","29.207200930","10.0.2.15","157.240.195.56","TCP","56","59306  >  443 [ACK] Seq=70 Ack=349 Win=65535 Len=0"
"75","30.463968140","10.0.2.15","157.240.195.56","TLSv1.2","149","Application Data"
"76","30.464336477","157.240.195.56","10.0.2.15","TCP","62","443  >  59306 [ACK] Seq=349 Ack=163 Win=65535 Len=0"
"77","31.785699954","157.240.195.56","10.0.2.15","TLSv1.2","223","Application Data"
"78","31.785804876","10.0.2.15","157.240.195.56","TCP","56","59306  >  443 [ACK] Seq=163 Ack=516 Win=65535 Len=0"
"83","33.529533117","10.0.2.15","157.240.195.56","TLSv1.2","131","Application Data"
"84","33.530097473","157.240.195.56","10.0.2.15","TCP","62","443  >  59306 [ACK] Seq=516 Ack=238 Win=65535 Len=0"
"89","34.532704441","10.0.2.15","157.240.195.56","TLSv1.2","125","Application Data"
"90","34.533647382","157.240.195.56","10.0.2.15","TCP","62","443  >  59306 [ACK] Seq=516 Ack=307 Win=65535 Len=0"
"91","34.685410698","157.240.195.56","10.0.2.15","TLSv1.2","127","Application Data"
"92","34.685499193","10.0.2.15","157.240.195.56","TCP","56","59306  >  443 [ACK] Seq=307 Ack=587 Win=65535 Len=0"
"97","36.923200460","10.0.2.15","157.240.195.56","TLSv1.2","95","Application Data"
"98","36.924217859","157.240.195.56","10.0.2.15","TCP","62","443  >  59290 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"99","36.924299784","10.0.2.15","157.240.195.56","TLSv1.2","80","Application Data"
"100","36.924404117","10.0.2.15","157.240.195.56","TCP","56","59290  >  443 [FIN, ACK] Seq=64 Ack=1 Win=62780 Len=0"
"101","36.925037317","157.240.195.56","10.0.2.15","TCP","62","443  >  59290 [ACK] Seq=1 Ack=64 Win=65535 Len=0"
"102","36.925037859","157.240.195.56","10.0.2.15","TCP","62","443  >  59290 [ACK] Seq=1 Ack=65 Win=65535 Len=0"
