"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"2","0.000549299","149.154.167.99","10.0.2.15","TCP","62","443  >  43190 [ACK] Seq=1 Ack=134 Win=65535 Len=0"
"3","0.171639657","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"4","0.171681327","10.0.2.15","149.154.167.99","TCP","56","43190  >  443 [ACK] Seq=134 Ack=114 Win=65535 Len=0"
"564","2.008504145","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"565","2.009069939","149.154.167.99","10.0.2.15","TCP","62","443  >  43190 [ACK] Seq=114 Ack=267 Win=65535 Len=0"
"566","2.091934831","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"567","2.091997103","10.0.2.15","149.154.167.99","TCP","56","43190  >  443 [ACK] Seq=267 Ack=227 Win=65535 Len=0"
"568","4.007092751","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"569","4.007641134","149.154.167.99","10.0.2.15","TCP","62","443  >  43190 [ACK] Seq=227 Ack=450 Win=65535 Len=0"
"570","4.145355946","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"571","4.145388898","10.0.2.15","149.154.167.99","TCP","56","43190  >  443 [ACK] Seq=450 Ack=340 Win=65535 Len=0"
"572","4.850884032","149.154.167.99","10.0.2.15","TLSv1.2","219","Application Data"
"573","4.850918595","10.0.2.15","149.154.167.99","TCP","56","43190  >  443 [ACK] Seq=450 Ack=503 Win=65535 Len=0"
"574","4.860205300","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"575","4.860729661","149.154.167.99","10.0.2.15","TCP","62","443  >  43190 [ACK] Seq=503 Ack=617 Win=65535 Len=0"
"576","6.002111914","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"577","6.002693986","149.154.167.99","10.0.2.15","TCP","62","443  >  43190 [ACK] Seq=503 Ack=784 Win=65535 Len=0"
