"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"2","0.000043233","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=1 Ack=114 Win=65535 Len=0"
"3","1.916489721","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"4","1.917049870","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=114 Ack=150 Win=65535 Len=0"
"5","1.994601635","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"6","1.994788472","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=150 Ack=227 Win=65535 Len=0"
"7","3.904680123","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"8","3.905086041","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=227 Ack=317 Win=65535 Len=0"
"9","3.987915743","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"10","3.987983554","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=317 Ack=340 Win=65535 Len=0"
"11","5.908676811","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"12","5.909095035","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=340 Ack=484 Win=65535 Len=0"
"13","5.991358326","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"14","5.991392364","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=484 Ack=453 Win=65535 Len=0"
"15","7.905771310","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"16","7.906224748","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=453 Ack=667 Win=65535 Len=0"
"17","7.985796950","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"18","7.985895014","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=667 Ack=566 Win=65535 Len=0"
"27","9.920545022","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"28","9.920934509","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=566 Ack=834 Win=65535 Len=0"
"29","10.000615154","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"30","10.000660639","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=834 Ack=679 Win=65535 Len=0"
"31","11.919731513","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"32","11.920170746","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=679 Ack=967 Win=65535 Len=0"
"33","11.998684067","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"34","11.998744280","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=967 Ack=792 Win=65535 Len=0"
"35","12.925306460","149.154.167.99","10.0.2.15","TLSv1.2","219","Application Data"
"36","12.925343158","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=967 Ack=955 Win=65535 Len=0"
"37","12.945947083","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"38","12.946383129","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=955 Ack=1166 Win=65535 Len=0"
"43","13.922213449","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"44","13.922543220","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=955 Ack=1349 Win=65535 Len=0"
"45","14.001069753","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"46","14.061636564","10.0.2.15","149.154.167.99","TCP","56","49228  >  443 [ACK] Seq=1349 Ack=1068 Win=65535 Len=0"
"47","15.945461703","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"48","15.946076080","149.154.167.99","10.0.2.15","TCP","62","443  >  49228 [ACK] Seq=1068 Ack=1516 Win=65535 Len=0"
"49","16.047387680","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
