"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"2","0.000352739","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=1 Ack=184 Win=65535 Len=0"
"3","0.084627332","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"4","0.084686853","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=184 Ack=114 Win=65535 Len=0"
"5","2.011595394","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"6","2.012545468","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=114 Ack=383 Win=65535 Len=0"
"7","2.111871334","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"8","2.112045954","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=383 Ack=227 Win=65535 Len=0"
"9","4.011974406","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"10","4.012265685","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=227 Ack=582 Win=65535 Len=0"
"11","4.098636299","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"12","4.098668887","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=582 Ack=340 Win=65535 Len=0"
"13","6.033970103","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"14","6.034610710","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=340 Ack=749 Win=65535 Len=0"
"15","6.202441944","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"16","6.202500216","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=749 Ack=453 Win=65535 Len=0"
"17","8.016709835","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"18","8.017159950","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=453 Ack=898 Win=65535 Len=0"
"19","8.096207948","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"20","8.096328445","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=898 Ack=566 Win=65535 Len=0"
"21","10.049757111","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"22","10.050088747","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=566 Ack=1031 Win=65535 Len=0"
"23","10.129645355","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"24","10.129747724","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=1031 Ack=679 Win=65535 Len=0"
"25","12.068287320","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"26","12.068826737","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=679 Ack=1198 Win=65535 Len=0"
"27","12.146926229","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"28","12.146960831","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=1198 Ack=792 Win=65535 Len=0"
"29","14.046492137","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"30","14.046848742","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=792 Ack=1397 Win=65535 Len=0"
"31","14.262452969","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"32","14.262510084","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=1397 Ack=905 Win=65535 Len=0"
"33","16.061115769","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"34","16.061496978","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=905 Ack=1564 Win=65535 Len=0"
"35","16.198360658","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"36","16.198397372","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=1564 Ack=1018 Win=65535 Len=0"
"37","18.074318993","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"38","18.074849464","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=1018 Ack=1747 Win=65535 Len=0"
"39","18.159377558","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"40","18.159473635","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=1747 Ack=1131 Win=65535 Len=0"
"49","20.051356485","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"50","20.051757449","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=1131 Ack=1946 Win=65535 Len=0"
"51","20.134048847","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"52","20.134132804","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=1946 Ack=1244 Win=65535 Len=0"
"53","22.081058095","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"54","22.081431610","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=1244 Ack=2095 Win=65535 Len=0"
"55","22.163557202","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"56","22.163620947","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=2095 Ack=1357 Win=65535 Len=0"
"57","24.080293800","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"58","24.080892761","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=1357 Ack=2278 Win=65535 Len=0"
"59","24.186511514","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"60","24.186606520","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=2278 Ack=1470 Win=65535 Len=0"
"61","26.059068489","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"62","26.059518202","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=1470 Ack=2445 Win=65535 Len=0"
"63","26.139013441","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"64","26.139046841","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=2445 Ack=1583 Win=65535 Len=0"
"65","27.642865624","10.0.2.15","149.154.167.99","TLSv1.2","95","Application Data"
"66","27.643864429","149.154.167.99","10.0.2.15","TCP","62","443  >  42886 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"67","27.727786499","149.154.167.99","10.0.2.15","TLSv1.2","95","Application Data"
"68","27.727830511","10.0.2.15","149.154.167.99","TCP","56","42886  >  443 [ACK] Seq=40 Ack=40 Win=62780 Len=0"
"69","28.100410206","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"70","28.100837224","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=1583 Ack=2578 Win=65535 Len=0"
"71","28.184591944","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"72","28.184623199","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=2578 Ack=1696 Win=65535 Len=0"
"73","29.586676197","149.154.167.99","10.0.2.15","TLSv1.2","622","Application Data"
"74","29.586704987","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=2578 Ack=2262 Win=65535 Len=0"
"75","29.614010161","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"76","29.614355302","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=2262 Ack=2777 Win=65535 Len=0"
"77","29.615249952","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"78","29.615492487","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=2262 Ack=2960 Win=65535 Len=0"
"79","29.697933140","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"80","29.707512465","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"81","29.707884116","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=2375 Ack=3127 Win=65535 Len=0"
"88","30.086477650","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"89","30.086790868","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=2375 Ack=3326 Win=65535 Len=0"
"90","30.141288627","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"91","30.141643911","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=2375 Ack=3509 Win=65535 Len=0"
"92","30.167709819","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"94","30.213873891","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=3509 Ack=2488 Win=65535 Len=0"
"95","30.263615489","149.154.167.99","10.0.2.15","TLSv1.2","459","Application Data"
"96","30.263669752","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=3509 Ack=2891 Win=65535 Len=0"
"97","30.279461090","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"98","30.279796697","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=2891 Ack=3692 Win=65535 Len=0"
"107","32.185507168","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"108","32.185798155","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=2891 Ack=3859 Win=65535 Len=0"
"109","32.264085215","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"110","32.309711591","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=3859 Ack=3004 Win=65535 Len=0"
"111","34.196870767","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"112","34.197264528","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=3004 Ack=4058 Win=65535 Len=0"
"113","34.276604041","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"114","34.276647178","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=4058 Ack=3117 Win=65535 Len=0"
"115","36.188395900","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"116","36.188739590","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=3117 Ack=4191 Win=65535 Len=0"
"117","36.500648494","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"118","36.500722698","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=4191 Ack=3230 Win=65535 Len=0"
"119","38.193804685","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"120","38.194108782","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=3230 Ack=4358 Win=65535 Len=0"
"121","38.273237411","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"122","38.273310219","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=4358 Ack=3343 Win=65535 Len=0"
"123","40.221890110","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"124","40.222256522","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=3343 Ack=4491 Win=65535 Len=0"
"128","40.301988074","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"129","40.302032903","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=4491 Ack=3456 Win=65535 Len=0"
"130","42.216935138","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"131","42.217455242","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=3456 Ack=4674 Win=65535 Len=0"
"132","42.301751263","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"133","42.301782585","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=4674 Ack=3569 Win=65535 Len=0"
"134","44.225340244","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"135","44.225706181","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=3569 Ack=4807 Win=65535 Len=0"
"136","44.361667972","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"137","44.361702551","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=4807 Ack=3682 Win=65535 Len=0"
"138","46.224314563","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"139","46.224632529","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=3682 Ack=4974 Win=65535 Len=0"
"140","46.304069571","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"141","46.304120376","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=4974 Ack=3795 Win=65535 Len=0"
"142","48.227278465","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
