"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"2","0.000342669","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=1 Ack=184 Win=65535 Len=0"
"3","0.082192500","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"4","0.082301405","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=184 Ack=114 Win=65535 Len=0"
"5","1.997673523","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"6","1.998073350","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=114 Ack=351 Win=65535 Len=0"
"7","2.076772361","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"8","2.076830566","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=351 Ack=227 Win=65535 Len=0"
"9","4.036689659","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"10","4.037065232","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=227 Ack=484 Win=65535 Len=0"
"11","4.124261713","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"12","4.124351806","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=484 Ack=340 Win=65535 Len=0"
"13","6.014688089","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"14","6.014981013","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=340 Ack=683 Win=65535 Len=0"
"15","6.093134155","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"16","6.093181896","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=683 Ack=453 Win=65535 Len=0"
"17","8.074315973","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"18","8.074709486","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=453 Ack=832 Win=65535 Len=0"
"19","8.165717308","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"20","8.165749856","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=832 Ack=566 Win=65535 Len=0"
"21","10.087873405","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"22","10.088297024","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=566 Ack=1031 Win=65535 Len=0"
"23","10.166340337","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"24","10.166408831","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1031 Ack=679 Win=65535 Len=0"
"25","12.121499946","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"26","12.122077169","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=679 Ack=1164 Win=65535 Len=0"
"27","12.200893798","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"28","12.200953648","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1164 Ack=792 Win=65535 Len=0"
"29","13.187345314","149.154.167.99","10.0.2.15","TLSv1.2","185","Application Data"
"30","13.187393911","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1164 Ack=921 Win=65535 Len=0"
"31","13.196210915","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"32","13.196454808","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=921 Ack=1347 Win=65535 Len=0"
"33","14.096013343","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"34","14.096304939","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=921 Ack=1496 Win=65535 Len=0"
"35","14.176523075","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"36","14.221293828","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1496 Ack=1034 Win=65535 Len=0"
"37","16.109019829","10.0.2.15","149.154.167.99","TLSv1.2","239","Application Data"
"38","16.109465555","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=1034 Ack=1679 Win=65535 Len=0"
"39","16.189643013","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"40","16.189698920","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1679 Ack=1147 Win=65535 Len=0"
"43","18.103271492","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"44","18.103565023","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=1147 Ack=1812 Win=65535 Len=0"
"45","18.183001864","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"46","18.183081326","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1812 Ack=1260 Win=65535 Len=0"
"47","20.120289168","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"48","20.120565161","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=1260 Ack=1945 Win=65535 Len=0"
"49","20.202081260","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"50","20.202269578","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=1945 Ack=1373 Win=65535 Len=0"
"51","22.133364028","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"52","22.133759695","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=1373 Ack=2144 Win=65535 Len=0"
"53","22.214635775","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"54","22.214747836","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=2144 Ack=1486 Win=65535 Len=0"
"55","24.130945288","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"56","24.131406674","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=1486 Ack=2311 Win=65535 Len=0"
"57","24.209174090","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"58","24.209228408","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=2311 Ack=1599 Win=65535 Len=0"
"59","26.157366380","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"60","26.157982784","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=1599 Ack=2460 Win=65535 Len=0"
"61","26.253673634","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"62","26.253708360","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=2460 Ack=1712 Win=65535 Len=0"
"63","27.189898130","149.154.167.99","10.0.2.15","TLSv1.2","654","Application Data"
"64","27.189928615","10.0.2.15","149.154.167.99","TCP","56","49022  >  443 [ACK] Seq=2460 Ack=2310 Win=65535 Len=0"
"65","27.225951427","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"66","27.226220748","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=2310 Ack=2609 Win=65535 Len=0"
"67","27.228521785","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"68","27.228759006","149.154.167.99","10.0.2.15","TCP","62","443  >  49022 [ACK] Seq=2310 Ack=2758 Win=65535 Len=0"
"69","27.328591120","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
